it w0 w1 ww1 w2 ww2 w10 w11 ww11 w12 ww12 w20 w21 ww21 w22 ww22 e
78 -0.8294937335368394 1.0870985066876788 -1.3105566235593493 1.0797502277803832 -1.3016978719977628 0.7585313401437287 -0.8942820852738166 -1.178965242364759 0 0.0 0.756347396101713 0 0.0 -0.8897432303130107 -1.1763684715500213 0.12170077586992385
79 -0.8458043014579161 1.103531361420817 -1.3047124015787765 1.095850437776106 -1.2956311949314805 0.7698964690825569 -0.8967897728860644 -1.1648186592604057 0 0.0 0.7676121187451873 0 0.0 -0.8921265847357556 -1.1622101357572514 0.12153293597278773
80 -0.8622167160071559 1.1199400719549135 -1.298907862910905 1.1119160656104379 -1.2896016105551933 0.7812484033535002 -0.8992908989185812 -1.1510947031166845 0 0.0 0.7788614850406611 0 0.0 -0.8945010488884734 -1.1484725667771019 0.12136427426826224
81 -0.878729520580035 1.1363232365463214 -1.2931433506367842 1.1279455712437698 -1.2836095121730193 0.7925866955909103 -0.9017854018641398 -1.1377750937287898 0 0.0 0.7900950661150167 0 0.0 -0.8968665554859555 -1.135137521989532 0.12119481670198053
82 -0.8953412446982504 1.152679455968257 -1.287419140795569 1.1439374207044768 -1.2776552264047758 0.8039109076222852 -0.9042732101658206 -1.1248425684885597 0 0.0 0.8013124444388022 0 0.0 -0.8992230287574265 -1.1221877745667557 0.12102458956638423
83 -0.9120504043752917 1.1690073343856655 -1.281735448806008 1.1598900871601419 -1.2717390196812728 0.8152206105428907 -0.906754243727002 -1.1122808133164777 0 0.0 0.8125132139159195 0 0.0 -0.9015703860099799 -1.109607044622509 0.12085361947084657
84 -0.9288555025223482 1.1853054802384764 -1.27609243528162 1.1758020519956498 -1.2658611041251382 0.8265153848030725 -0.9092284152884028 -1.1000743991051511 0 0.0 0.8236969799827899 0 0.0 -0.9039085390574852 -1.0973799358550171 0.12068193331163175
85 -0.9457550293928596 1.2015725071312717 -1.2704902112998941 1.1916718058957263 -1.2600216428780044 0.8377948203058461 -0.9116956316846553 -1.0882087231714215 0 0.0 0.8348633597145039 0 0.0 -0.9062373955273179 -1.085491877182419 0.12050955824171357
86 -0.9627474630638805 1.2178070347275036 -1.264928843179615 1.2074978499295983 -1.2542207549286246 0.8490585165125917 -0.9141557949915855 -1.076669955265714 0 0.0 0.8460119819357003 0 0.0 -0.9085568600559578 -1.0739290689206942 0.1203365216404806
87 -0.9798312699523195 1.2340076896464771 -1.259408356814869 1.2232786966355416 -1.24845851949088 0.8603060825548912 -0.9166088035742179 -1.0654449877328798 0 0.0 0.8571424873341447 0 0.0 -0.9108668353833481 -1.0626784330996064 0.12016285108335827
88 -0.9970049053640377 1.2501731063613883 -1.253928741609261 1.2390128711031605 -1.242734979975608 0.8715371373507234 -0.9190545530444892 -1.054521389459327 0 0.0 0.868254528575165 0 0.0 -0.9131672233548664 -1.0517275675525755 0.11998857431138259
89 -1.0142668140737268 1.266301928096779 -1.24848995404944 1.2546989120513095 -1.2370501475956857 0.8827513097234109 -0.9214929371367298 -1.0438873632772718 0 0.0 0.8793477704152879 0 0.0 -0.9154579258388371 -1.0410647034523048 0.11981371920076135
90 -1.0316154309334484 1.2823928077238154 -1.243091920952998 1.2703353728996283 -1.2314040046397678 0.8939482385218543 -0.9239238485081429 -1.0335317065290641 0 0.0 0.8904218898135708 0 0.0 -0.9177388455666908 -1.0306786659960026 0.11963831373246347
91 -1.049049181507693 1.2984444086518483 -1.2377345424222386 1.285920822831715 -1.2257965074464765 0.9051275727407277 -0.9263471794707817 -1.023443774523188 0 0.0 0.9014765760392792 0 0.0 -0.9200098869021355 -1.0205588379725672 0.11946238596187699
